,q
1873,5897.76
1874,6330.4
1875,5883.76
1876,5687.4
1877,6122.4
1878,5842.12
1879,6067.12
1880,5847.4
1881,5788.76
1882,6011.76
1883,6036.48
1884,5781.76
1885,5655.4
1886,6094.4
1887,6080.48
1888,6192.4
1889,5985.4
1890,6087.76
1891,6000.12
1892,5885.4
1893,6102.12
1894,5898.4
1895,5802.4
1896,5677.4
1897,6082.48
1898,5683.4
1899,5897.4
1900,5904.4
1901,5892.4
1902,5936.76
1903,5861.12
1904,6392.12
1905,5987.76
1906,5974.76
1907,5891.76
1908,5989.12
1909,5751.4
1910,5887.4
1911,6131.76
1912,6085.12
1913,5658.4
1914,5988.76
1915,6085.12
1916,5574.4
1917,6083.48
1918,5662.76
1919,5924.76
1920,6300.56
1921,6094.12
1922,5701.4
1923,5859.76
1924,6078.4
1925,5663.76
1926,5751.76
1927,5675.76
1928,5932.4
1929,5520.4
1930,6251.4
1931,5678.76
1932,5755.4
1933,5957.4
1934,5593.4
1935,5731.4
1936,6135.48
1937,6174.2
1938,5973.76
1939,5752.76
1940,6048.12
1941,5889.4
1942,6091.4
1943,6036.4
1944,5693.4
1945,5996.48
1946,5887.4
1947,6015.76
1948,6343.12
1949,6282.48
1950,5650.76
1951,5701.4
1952,5846.76
1953,5774.4
1954,5819.76
1955,6112.2
1956,5642.76
1957,5616.4
1958,6083.48
1959,5840.4
1960,5667.4
1961,5754.4
1962,6211.76
1963,5889.76
1964,5995.76
1965,5810.4
1966,5806.12
1967,6077.48
1968,5991.76
1969,6202.12
1970,5989.12
1971,5780.76
1972,5790.4
1973,5875.4
1974,5948.76
1975,5951.4
1976,5914.48
1977,5908.4
1978,5785.4
1979,5900.4
1980,5746.4
1981,5745.4
1982,5585.4
1983,5593.4
1984,5756.4
1985,6235.4
1986,5636.4
1987,5773.4
1988,6026.48
1989,5838.4
1990,5801.4
1991,5810.4
1992,6107.76
1993,6049.48
1994,5787.4
1995,5823.76
1996,5840.4
1997,5913.76
1998,5990.76
1999,6029.48
