,q
0,2092.21
1,1670.85
2,1252.42
3,781.98
4,416.26
5,1067.42
6,897.7
7,406.62
8,515.62
9,822.06
10,1134.7
11,381.26
12,1261.13
13,1246.13
14,1173.06
15,1647.13
16,131.54
17,738.7
18,692.98
19,1020.42
20,1777.57
21,1384.49
22,727.34
23,1210.42
24,175.54
25,418.26
26,2489.73
27,515.98
28,1336.78
29,-985.42
30,1085.34
31,1031.06
32,931.98
33,1886.93
34,587.26
35,968.7
36,1377.85
37,1533.78
38,31.54
39,598.98
40,774.26
41,591.26
42,848.7
43,1247.42
44,1096.34
45,177.54
46,1424.78
47,386.82
48,1675.78
49,1045.06
50,972.98
51,1111.06
52,2042.57
53,392.98
54,1199.13
55,-922.06
56,2162.93
57,1888.29
58,1765.85
59,635.26
60,1469.49
61,1353.42
62,186.18
63,1764.85
64,-94.46
65,1237.42
66,2018.57
67,544.34
68,-887.34
69,-341.98
70,808.62
71,274.54
72,3086.09
73,558.98
74,2511.73
75,1247.42
76,566.62
77,461.9
78,1818.29
79,762.98
80,240.82
81,973.06
82,862.7
83,430.9
84,-188.82
85,485.9
86,1671.57
87,113.9
88,829.34
89,883.06
90,801.26
91,1081.42
92,-598.06
93,2181.85
94,1960.21
95,574.26
96,511.9
97,497.34
98,649.34
99,-411.62
